count,sku,name,web_name,slug,price,price_unit,currency_symbol,image_url,ingredients,dosage_form,brand,specification,category_names,category_slugs,is_active,is_publish,search_scoring,product_ranking,link,category,skip_count
1,00046935,NƯỚC SÚC MIỆNG CHLOR-RINSE PLUS PEARLIE WHITE 250ML,Nước Súc Miệng Pearlie White Chlor-Rinse Plus (250ml),cham-soc-ca-nhan/nuoc-suc-mieng-sat-khuan-ngua-viem-nuou-chlor-rinse-plus-pearlie-white-250-ml.html,175000.0,Chai,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_01900_6fe44907dd.jpg,"Aqua , Sorbitol , Glycerin , Polysorbate 20 , Potassium acesulfanem , Chlohexidin digluconate , Potassium sorbate , Xylitol , Allantoin , Menthol , Tocopheryl acetate , Aloes (aloe barbadensis) , Thymol , Cetylpyridinium chloride , Flavor , Lonicera Caprifolium Extract , Chamomilla Recutita Flower extract , Salvia officinalis leaf extract , Commiphora myrrha resin ",,PEARLIE WHITE,Chai,Chăm sóc cá nhân | Chăm sóc răng miệng | Nước súc miệng,cham-soc-ca-nhan | cham-soc-ca-nhan/cham-soc-rang-mieng | cham-soc-ca-nhan/nuoc-suc-mieng,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/nuoc-suc-mieng-sat-khuan-ngua-viem-nuou-chlor-rinse-plus-pearlie-white-250-ml.html,cham-soc-ca-nhan,0
2,00046934,NƯỚC SÚC MIỆNG PEARLIE WHITE FLUORINZE CHAI 750ML,Nước súc miệng Pearlie White Fluorinze Anti-Bacterial Fluoride (750ml),cham-soc-ca-nhan/nuoc-suc-mieng-khang-khuan-pearlie-white-fluorinze-chai-750-ml.html,165000.0,Chai,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/IMG_6448_6765877a03.jpg,"Aqua , Polysorbate 20 , Glycerin , Sodium benzoate , Potassium acesulfanem , Flavor , Sodium fluoride , Xylitol , Cetylpyridinium chloride , Menthol , Tocopheryl acetate , Anthemis Nobilis Flower , Potassium Chloride , Melaleuca Alternifolia Leaf Oil , Thymol ",,PEARLIE WHITE,Chai,Chăm sóc cá nhân | Chăm sóc răng miệng | Nước súc miệng,cham-soc-ca-nhan | cham-soc-ca-nhan/cham-soc-rang-mieng | cham-soc-ca-nhan/nuoc-suc-mieng,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/nuoc-suc-mieng-khang-khuan-pearlie-white-fluorinze-chai-750-ml.html,cham-soc-ca-nhan,0
3,00046517,TRÀ THẢO DƯỢC KAMIGAN 290ML KHÔNG ĐƯỜNG,Trà Thảo Dược Kamigan Không Đường (290ml),cham-soc-ca-nhan/tra-thao-duoc-kamigan-290-ml-khong-duong.html,10000.0,Chai,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09470_86949a83ba.jpg,"Nước ion hóa , Cúc hoa , Actiso , Rau đắng đất , Arginine , Ô Long , Isomalt ",,KAMIGAN,Thùng 24 Chai,Chăm sóc cá nhân | Thực phẩm - Đồ uống,cham-soc-ca-nhan | cham-soc-ca-nhan/thuc-pham-do-uong,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/tra-thao-duoc-kamigan-290-ml-khong-duong.html,cham-soc-ca-nhan,0
4,00046516,TRÀ THẢO DƯỢC KAMIGAN 290ML,Trà Thảo Dược Kamigan (290ml),cham-soc-ca-nhan/tra-thao-duoc-kamigan-290-ml.html,10000.0,Chai,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09434_a0e28e9168.jpg,"Nước ion hóa , Cúc hoa , Actiso , Rau đắng đất , Arginine , Ô Long , Đường mía ",,KAMIGAN,Thùng 24 Chai,Chăm sóc cá nhân | Thực phẩm - Đồ uống,cham-soc-ca-nhan | cham-soc-ca-nhan/thuc-pham-do-uong,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/tra-thao-duoc-kamigan-290-ml.html,cham-soc-ca-nhan,0
5,00046407,BỘT ĐIỆN GIẢI VỊ CHANH DÂY KAMIZOL SPORTS DRINK POWDER 5 GÓI X 25G,Bột Điện Giải Vị Chanh Dây Kamizol Sports Drink Powder (5 gói x 25g),cham-soc-ca-nhan/bot-dien-giai-vi-chanh-day-kamizol-sport-drink-powder-5-goi-x-25-g.html,40000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_06452_66c43d8446.jpg,"Năng lượng , Carbohydrate , Protein , Lipid , Natri clorid , Kali clorid , Magie citrate , Kẽm Gluconat , Glucose , Vitamin C , L-Carnitine ",Bột,KAMIZOL,Hộp 5 Gói,Chăm sóc cá nhân | Thực phẩm - Đồ uống,cham-soc-ca-nhan | cham-soc-ca-nhan/thuc-pham-do-uong,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/bot-dien-giai-vi-chanh-day-kamizol-sport-drink-powder-5-goi-x-25-g.html,cham-soc-ca-nhan,0
6,00043051,NƯỚC YẾN SÀO CAO CẤP NUNEST ĐÔNG TRÙNG HẠ THẢO 15% YẾN 6 HŨ X 70ML,Nước Yến Sào Cao Cấp Nunest Đông Trùng Hạ Thảo 15% Yến (6 hũ x 70ml),cham-soc-ca-nhan/nuoc-yen-sao-cao-cap-nunest-dong-trung-ha-thao-15-yen-6-hu-x-70-ml.html,295000.0,Lốc,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08495_8950475c57.jpg,"Nước , Yến sào chưng sẵn , Sucrose , Đường phèn , Canxi lactat , Đông trùng hạ thảo 11.2mg/ml, Chất ổn định , Collagen peptide , Collagen type II , Hương tổng hợp , Chất bảo quản , Vitamin K2 ",,Nunest,Lốc 6 Hũ,Chăm sóc cá nhân | Thực phẩm - Đồ uống | Nước Yến,cham-soc-ca-nhan | cham-soc-ca-nhan/thuc-pham-do-uong | cham-soc-ca-nhan/nuoc-yen,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/nuoc-yen-sao-cao-cap-nunest-dong-trung-ha-thao-15-yen-6-hu-x-70-ml.html,cham-soc-ca-nhan,0
7,00043050,NƯỚC YẾN SÀO CAO CẤP NUNEST RELAX ĐÔNG TRÙNG HẠ THẢO 5% YẾN 6 CHAI X 185ML,Nước Yến Sào Cao Cấp Nunest Relax Đông Trùng Hạ Thảo 5% Yến (6 chai x 185ml),cham-soc-ca-nhan/nuoc-yen-sao-cao-cap-nunest-relax-dong-trung-ha-thao-5-yen-6-chai-x-185-ml.html,195000.0,Lốc,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_08470_b70a6edf67.jpg,"Nước , Yến sào chưng sẵn , Sucrose , Canxi lactat , Chất ổn định , Đông trùng hạ thảo 3.8mg/ml, Hương tổng hợp , Collagen peptide , đạm sữa thủy phân lactium , Chất tạo ngọt tự nhiên ",,Nunest,Lốc 6 Chai,Chăm sóc cá nhân | Thực phẩm - Đồ uống | Nước Yến,cham-soc-ca-nhan | cham-soc-ca-nhan/thuc-pham-do-uong | cham-soc-ca-nhan/nuoc-yen,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/nuoc-yen-sao-cao-cap-nunest-relax-dong-trung-ha-thao-5-yen-6-chai-x-185-ml.html,cham-soc-ca-nhan,0
8,00041326,"DUNG DỊCH VỆ SINH PHỤ NỮ DẠNG BỌT NATURAL FEMININE LÁ TRẦU KHÔNG KHÁNG KHUẨN, VỆ SINH NHẸ NHÀNG 160ML","Dung dịch vệ sinh phụ nữ dạng bọt Natural Feminine Lá Trầu Không kháng khuẩn, vệ sinh nhẹ nhàng (160ml)",cham-soc-ca-nhan/dung-dich-ve-sinh-phu-nu-dang-bot-natural-feminine-la-trau-khong-160-ml.html,135000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09216_2e1435be0a.png,"Water , Cocamido Propyl Belaine , Disodium Laureth Sulfosuccinate , Decyl glucoside , Polyquaternium-7 , Sodium benzoate , Piper Betle (Leaf) Extract , Fragrance , Aloe barbadensis leaf extract , Glycerin , Panthenol , Camellia Sinensis Leaf Extract , Rosa Centifolia Flower Extract , Prunus Mume Fruit Extract , Centella Asiatica Extract , Undaria Pinnatifida Extract , Lactic Acid , Citric Acid , Sodium Citrate , Sodium Chloride , Gluconolactone , Disodium EDTA , Niacinamide , Euglena Gracilis Polysaccharide , Hydrolyzed Collagen , Menthol , Tocopherol acetate ",,Natural Feminine,Hộp x 160ml,Chăm sóc cá nhân | Vệ sinh cá nhân | Dung dịch vệ sinh phụ nữ,cham-soc-ca-nhan | cham-soc-ca-nhan/ve-sinh-ca-nhan | cham-soc-ca-nhan/dung-dich-ve-sinh-phu-nu,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/dung-dich-ve-sinh-phu-nu-dang-bot-natural-feminine-la-trau-khong-160-ml.html,cham-soc-ca-nhan,0
9,00041252,TRÀ THẢO DƯỢC CÀ GAI LEO KAMI TEA 20 TÚI LỌC X 2G,Trà Thảo Dược Cà Gai Leo Kami Tea (20 túi lọc x 2g),cham-soc-ca-nhan/tra-thao-duoc-ca-gai-leo-kami-tea-20-tui-loc-x-2-g.html,60000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00495_f1cb115454.jpg,"Cà gai leo 1.45g, Nhân trần 0.4g, Cỏ ngọt 0.14g, Kẽm Gluconat 10mg",,KAMI TEA,Hộp 20 Túi,Chăm sóc cá nhân | Thực phẩm - Đồ uống | Trà thảo dược,cham-soc-ca-nhan | cham-soc-ca-nhan/thuc-pham-do-uong | cham-soc-ca-nhan/tra,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/tra-thao-duoc-ca-gai-leo-kami-tea-20-tui-loc-x-2-g.html,cham-soc-ca-nhan,0
10,00040810,"BAO CAO SU OKAMOTO CROWN KÍCH CỠ NHỎ, SIÊU MỎNG VÀ MỀM MẠI HỘP 10 CÁI","Bao cao su Okamoto Crown kích cỡ nhỏ, siêu mỏng, mềm mại dùng để phòng tránh thai và ngăn ngừa HIV (10 cái)",cham-soc-ca-nhan/bao-cao-su-okamoto-crown-kich-co-nho-sieu-mong-va-mem-mai-hop-10-cai.html,205000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09728_0364c338ed.jpg,Cao su thiên nhiên ,,OKAMOTO,Hộp 10 Cái,Chăm sóc cá nhân | Hỗ trợ tình dục | Bao cao su,cham-soc-ca-nhan | cham-soc-ca-nhan/ho-tro-tinh-duc | cham-soc-ca-nhan/bao-cao-su,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/bao-cao-su-okamoto-crown-kich-co-nho-sieu-mong-va-mem-mai-hop-10-cai.html,cham-soc-ca-nhan,0
11,00040582,DẦU HÚNG CHANH LÁBEBÉ 30ML,Dầu Húng Chanh Hỗ Trợ Lợi Phế Trừ Đờm Giảm Ho Labebé (30ml),cham-soc-ca-nhan/dau-hung-chanh-ho-tro-loi-phe-tru-dom-giam-ho-labebe-30-ml.html,180000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09754_782bfebbbf.jpg,"Nước tinh khiết , Đường phèn , Bột nước ép cô đặc quả cơm cháy 20mg, Kẽm Gluconat 0.5mg, Tinh dầu húng chanh 0.1mg, Tinh dầu quế 0.05mg, Tinh dầu bạc hà 0.05mg, Tinh dầu gừng 0.03mg",,LÁBEBÉ,Hộp x 30ml,Chăm sóc cá nhân | Tinh dầu các loại,cham-soc-ca-nhan | cham-soc-ca-nhan/tinh-dau-cac-loai,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/dau-hung-chanh-ho-tro-loi-phe-tru-dom-giam-ho-labebe-30-ml.html,cham-soc-ca-nhan,0
12,00040432,"CAO ĐUỔI MUỖI CHO BÉ, GIẢM SƯNG TẤY DO CÔN TRÙNG ĐỐT OLA PAPI 20G","Cao Đuổi Muỗi Cho Bé, Giảm Sưng Tấy Do Côn Trùng Đốt Ola Papi (20g)",cham-soc-ca-nhan/cao-duoi-muoi-cho-be-giam-sung-tay-do-con-trung-dot-ola-papi-20-g.html,95000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_03285_e2a2c34ff1.jpg,"Tinh dầu tràm , Tinh dầu Sả chanh , Vaseline dưỡng da chiết xuất từ thiên nhiên ",Cao,OLA PAPI,Hộp,Chăm sóc cá nhân | Đồ dùng gia đình | Chống muỗi & côn trùng,cham-soc-ca-nhan | cham-soc-ca-nhan/do-dung-gia-dinh | cham-soc-ca-nhan/chong-muoi-con-trung,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/cao-duoi-muoi-cho-be-giam-sung-tay-do-con-trung-dot-ola-papi-20-g.html,cham-soc-ca-nhan,0
13,00038128,BỘT THANH NHIỆT DATINO HEAT-RELIEVING DRINK POWDER 10 GÓI X 8G,Bột Thanh Nhiệt Datino Heat-Relieving Drink Powder (10 gói x 8g),cham-soc-ca-nhan/bot-thanh-nhiet-datino-heat-relieving-drink-powder-10-goi-x-8-g.html,42000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07314_820bccb99a.png,"Bí đao (Hạt và Vỏ) , chiết xuất atiso , Chiết xuất hoa Cúc , Rau má , Mía lau , Hạt chia ",,Datino,Hộp 10 Gói,Chăm sóc cá nhân | Thực phẩm - Đồ uống,cham-soc-ca-nhan | cham-soc-ca-nhan/thuc-pham-do-uong,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/bot-thanh-nhiet-datino-heat-relieving-drink-powder-10-goi-x-8-g.html,cham-soc-ca-nhan,0
14,00503158,"BCS SAGAMI CLASSIC SIÊU MỎNG NHIỀU GEL BÔI TRƠN, MÀU DA, KHÔNG MÙI 12 CÁI","Bao cao su Sagami Classic siêu mỏng, nhiều chất bôi trơn, không mùi (12 cái)",cham-soc-ca-nhan/bcs-sagami-classic-sieu-mong-nhieu-gel-boi-tron-mau-da-khong-mui-12-cai-37460.html,148000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00503158_bcs_sagami_classic_sieu_mong_nhieu_gel_boi_tron_mau_da_khong_mui_12_cai_1445_63d7_large_84cbe583d1.jpg,Cao su tinh chế ,,SAGAMI,Hộp 12 Cái,Chăm sóc cá nhân | Hỗ trợ tình dục | Bao cao su,cham-soc-ca-nhan | cham-soc-ca-nhan/ho-tro-tinh-duc | cham-soc-ca-nhan/bao-cao-su,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/bcs-sagami-classic-sieu-mong-nhieu-gel-boi-tron-mau-da-khong-mui-12-cai-37460.html,cham-soc-ca-nhan,0
15,00503128,"BCS SAGAMI LOVE ME GOLD SIÊU MỎNG, TRƠN, KHÔNG MÀU KHÔNG MÙI 10 CÁI","Bao cao su Sagami Love Me Gold siêu mỏng, trơn, không màu không mùi (10 cái)",cham-soc-ca-nhan/bcs-sagami-love-me-gold-sieu-mong-tron-khong-mau-khong-mui-10-cai-37423.html,90000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00503128_bao_cao_su_sagami_love_me_gold_vay_tu_y_te_ha_noi_hop_10_cai_6824_63d7_large_7280123f66.jpg,Cao su tinh chế ,,SAGAMI,Hộp 10 Cái,Chăm sóc cá nhân | Hỗ trợ tình dục | Bao cao su,cham-soc-ca-nhan | cham-soc-ca-nhan/ho-tro-tinh-duc | cham-soc-ca-nhan/bao-cao-su,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/bcs-sagami-love-me-gold-sieu-mong-tron-khong-mau-khong-mui-10-cai-37423.html,cham-soc-ca-nhan,0
16,00503116,BÔNG TẨY TRANG TRÒN KAMICARE 120 MIẾNG,"Bông tẩy trang tròn KamiCare Cotton Pads thấm hút tốt giúp sạch bụi bẩn, tẩy tế bào chết trên da (120 miếng)",cham-soc-ca-nhan/bong-tay-trang-tron-kamicare-120-mieng-37419.html,33000.0,Túi,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00503116_bong_tay_trang_tron_kamicare_120_mieng_9336_642c_large_dd9d9ee6ee.jpg,Bông tự nhiên 100%,,KamiCARE,Túi,Chăm sóc cá nhân | Hàng tổng hợp,cham-soc-ca-nhan | cham-soc-ca-nhan/hang-tong-hop,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/bong-tay-trang-tron-kamicare-120-mieng-37419.html,cham-soc-ca-nhan,0
17,00503115,TĂM BÔNG SƠ SINH KAMICARE HỘP TRÒN 200 QUE - ĐẦU BÔNG SIÊU NHỎ,Tăm bông kháng khuẩn KamiCare hộp tròn dành cho trẻ em từ sơ sinh (200 que) ,cham-soc-ca-nhan/tam-bong-so-sinh-kamicare-hop-tron-200-que---dau-bong-sieu-nho-37420.html,38000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00503115_tam_bong_so_sinh_kamicare_hop_tron_200_que_dau_bong_sieu_nho_9562_642c_large_ece19e4a73.jpg,"Giấy , Chitosan , Polyvinyl alcohol , Bông Cotton 100%",,KamiCARE,Hộp,Chăm sóc cá nhân | Vệ sinh cá nhân | Vệ sinh tai,cham-soc-ca-nhan | cham-soc-ca-nhan/ve-sinh-ca-nhan | cham-soc-ca-nhan/ve-sinh-tai,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/tam-bong-so-sinh-kamicare-hop-tron-200-que---dau-bong-sieu-nho-37420.html,cham-soc-ca-nhan,0
18,00503114,TĂM BÔNG TRẺ EM KAMICARE HỘP TRÒN 160 QUE - 1 ĐẦU XOẮN 1 ĐẦU THƯỜNG,"Tăm bông kháng khuẩn KamiCare dành cho trẻ em 1 đầu xoắn 1 đầu thường vệ sinh tai, mũi (160 chiếc)",cham-soc-ca-nhan/tam-bong-tre-em-kamicare-hop-tron-160-que---1-dau-xoan-1-dau-thuong-37421.html,32000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00503114_tam_bong_tre_em_kamicare_hop_tron_160_que_1_dau_xoan_1_dau_thuong_1958_642c_large_f9db5145e5.jpg,"Chitosan , Polyvinyl alcohol , Bông Cotton 100%, Giấy ",,KamiCARE,Hộp,Chăm sóc cá nhân | Vệ sinh cá nhân | Vệ sinh tai,cham-soc-ca-nhan | cham-soc-ca-nhan/ve-sinh-ca-nhan | cham-soc-ca-nhan/ve-sinh-tai,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/tam-bong-tre-em-kamicare-hop-tron-160-que---1-dau-xoan-1-dau-thuong-37421.html,cham-soc-ca-nhan,0
19,00503113,TĂM BÔNG NGƯỜI LỚN KAMICARE HỘP TRÒN 200 QUE - 1 ĐẦU XOẮN 1 ĐẦU THƯỜNG,"Tăm bông kháng khuẩn KamiCare vệ sinh tai, mũi (200 que)",cham-soc-ca-nhan/tam-bong-nguoi-lon-kamicare-hop-tron-200-que---1-dau-xoan-1-dau-thuong-37422.html,32000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00503113_tam_bong_nguoi_lon_kamicare_hop_tron_200_que_1_dau_xoan_1_dau_thuong_3392_642c_large_07148a35bd.jpg,"Chitosan , Polyvinyl alcohol , Bông Cotton 100%, Giấy ",,KamiCARE,Hộp,Chăm sóc cá nhân | Vệ sinh cá nhân | Vệ sinh tai,cham-soc-ca-nhan | cham-soc-ca-nhan/ve-sinh-ca-nhan | cham-soc-ca-nhan/ve-sinh-tai,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/tam-bong-nguoi-lon-kamicare-hop-tron-200-que---1-dau-xoan-1-dau-thuong-37422.html,cham-soc-ca-nhan,0
20,00502988,NƯỚC UỐNG ION KIỀM KAMI-ION PH9+ 350ML,Nước Uống Ion Kiềm Kami-Ion pH9+ (350ml),cham-soc-ca-nhan/nuoc-uong-ion-kiem-kami-ion-ph9-350ml-37285.html,7000.0,Chai,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00502988_nuoc_uong_ion_kiem_kami_ion_ph9_350ml_2213_63aa_large_5a1f764dcd.jpg,"Tổng chất rắn hòa tan (TDS) , Sodium (Na+) , Bicarbonate , Potassium (K+) , Magnesium , Iodide , Calcium (Ca+) ",,KAMI ION,Thùng 24 Chai x 350ml,Chăm sóc cá nhân | Thực phẩm - Đồ uống | Nước uống không gas,cham-soc-ca-nhan | cham-soc-ca-nhan/thuc-pham-do-uong | cham-soc-ca-nhan/nuoc-uong-khong-gas,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/nuoc-uong-ion-kiem-kami-ion-ph9-350ml-37285.html,cham-soc-ca-nhan,0
21,00502818,TRÀ GỪNG SẢ PREMIUM LADOPHAR 20 TÚI LỌC X 2G,Trà Gừng Sả Premium Ladophar (20 túi lọc x 2g),cham-soc-ca-nhan/tra-gung-sa-premium-ladophar-20-tui-loc-x-2g-37130.html,36000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00502818_tra_gung_sa_premium_ladophar_20_tui_loc_x_2g_2228_6389_large_6579f9f32a.jpg,"Sả 0.64g, Gừng 0.7g",,Ladophar,Hộp 20 Gói x 2g,Chăm sóc cá nhân | Thực phẩm - Đồ uống | Trà thảo dược,cham-soc-ca-nhan | cham-soc-ca-nhan/thuc-pham-do-uong | cham-soc-ca-nhan/tra,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/tra-gung-sa-premium-ladophar-20-tui-loc-x-2g-37130.html,cham-soc-ca-nhan,0
22,00502817,TRÀ ACTISÔ PREMIUM LADOPHAR 20 TÚI LỌC X 2G,Trà Actisô Premium Ladophar (20 túi lọc x 2g),cham-soc-ca-nhan/tra-actiso-premium-ladophar-20-tui-loc-x-2g-37131.html,35000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00502817_tra_actiso_premium_ladophar_20_tui_loc_x_2g_8390_6389_large_dda086c780.jpg,"Cao đặc Actisô 0.04g, Bột cỏ ngọt 0.31g, Bột Actisô 1.65g",,Ladophar,Hộp 20 Gói x 2g,Chăm sóc cá nhân | Thực phẩm - Đồ uống | Trà thảo dược,cham-soc-ca-nhan | cham-soc-ca-nhan/thuc-pham-do-uong | cham-soc-ca-nhan/tra,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/tra-actiso-premium-ladophar-20-tui-loc-x-2g-37131.html,cham-soc-ca-nhan,0
23,00502536,VIÊN NGHỆ MẬT ONG ROYAL HONEY 250G,Viên Nghệ Mật Ong Royal Honey (250g),cham-soc-ca-nhan/vien-nghe-mat-ong-royal-honey-250g-36795.html,61500.0,Chai,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00502536_vien_nghe_mat_ong_royal_honey_250g_9512_637e_large_7ef79609f0.jpg,"Mật ong 27%, Sữa ong chúa 3%, Nghệ 70%",,Royal Honey,Chai x 250g,Chăm sóc cá nhân | Thực phẩm - Đồ uống,cham-soc-ca-nhan | cham-soc-ca-nhan/thuc-pham-do-uong,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/vien-nghe-mat-ong-royal-honey-250g-36795.html,cham-soc-ca-nhan,0
24,00502533,MẬT ONG HOA RỪNG TÂY BẮC ROYAL HONEY 730G,Mật Ong Hoa Rừng Tây Bắc Royal Honey (730g),cham-soc-ca-nhan/mat-ong-hoa-rung-tay-bac-royal-honey-730g-36798.html,130000.0,Chai,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/QAG_05552_9b05652546.png,Mật ong ,,Royal Honey,Chai x 730g,Chăm sóc cá nhân | Thực phẩm - Đồ uống,cham-soc-ca-nhan | cham-soc-ca-nhan/thuc-pham-do-uong,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/mat-ong-hoa-rung-tay-bac-royal-honey-730g-36798.html,cham-soc-ca-nhan,0
25,00502499,NƯỚC BÙ ĐIỆN GIẢI KAMIZOL VỊ DÂU 250ML,Nước Bù Điện Giải Kamizol Vị Dâu (250ml),cham-soc-ca-nhan/nuoc-bu-dien-giai-kamizol-vi-dau-250ml-36747.html,10500.0,Chai,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/IMG_5070_6305b0aa87.jpg,"Vitamin B3 2.5mg, Nước ion hóa , Natri clorid 190mg, Kali clorid 70mg, L-Carnitine 15mg, Vitamin B6 1mg, Sucralose , Kẽm Gluconat 5mg, Axit citric , Natri citrat , Glucose , Hương dâu tổng hợp , Nước tinh khiết , Vitamin C 20mg",,KAMIZOL,Thùng 24 Chai x 250ml,Chăm sóc cá nhân | Thực phẩm - Đồ uống | Nước uống không gas,cham-soc-ca-nhan | cham-soc-ca-nhan/thuc-pham-do-uong | cham-soc-ca-nhan/nuoc-uong-khong-gas,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/nuoc-bu-dien-giai-kamizol-vi-dau-250ml-36747.html,cham-soc-ca-nhan,0
26,00502498,NƯỚC BÙ ĐIỆN GIẢI KAMIZOL VỊ CHANH 250ML,Nước Bù Điện Giải Kamizol Vị Chanh (250ml),cham-soc-ca-nhan/nuoc-bu-dien-giai-kamizol-vi-chanh-250ml-36748.html,10500.0,Chai,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/IMG_5077_cc650f0dc4.jpg,"Vitamin B3 2.5mg, Nước ion hóa , Natri clorid 190mg, Kali clorid 70mg, L-Carnitine 15mg, Vitamin B6 1mg, Sucralose , Kẽm Gluconat 5mg, Axit citric , Natri citrat , Glucose , Hương chanh , Nước tinh khiết , Vitamin C 20mg",,KAMIZOL,Thùng 24 Chai x 250ml,Chăm sóc cá nhân | Thực phẩm - Đồ uống | Nước uống không gas,cham-soc-ca-nhan | cham-soc-ca-nhan/thuc-pham-do-uong | cham-soc-ca-nhan/nuoc-uong-khong-gas,True,True,110,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/nuoc-bu-dien-giai-kamizol-vi-chanh-250ml-36748.html,cham-soc-ca-nhan,0
